prompt_id,Models_Answered,Avg_Response_Length,Avg_Latency_ms,Avg_Tokens,Completion_Rate_%
00,30,4369.6,12150.9,1623.0,93.8
01,31,4034.97,13068.61,2322.35,96.9
02,31,4503.68,13280.42,1604.13,96.9
03,31,4299.45,14059.26,1518.03,96.9
04,30,4582.9,14318.0,1660.0,93.8
05,29,4837.9,13850.03,1629.93,90.6
06,29,4550.41,14525.86,1744.17,90.6
07,26,4772.35,12983.54,1663.0,81.2
08,26,4784.38,11937.69,1767.19,81.2
09,24,4471.5,13486.42,1421.33,75.0
10,24,4401.79,13398.08,1531.29,75.0
11,24,4844.71,13048.04,1735.62,75.0
12,25,4503.36,13022.76,1619.52,78.1
13,23,4604.96,12638.87,1493.26,71.9
14,24,4150.54,11288.88,1337.21,75.0
15,23,4524.13,12576.39,1477.83,71.9
16,22,4267.09,8648.45,1386.36,68.8
17,21,4306.71,10289.81,1357.81,65.6
18,21,4503.24,6881.38,1407.86,65.6
19,19,4374.16,10204.42,1263.95,59.4
20,21,4052.52,7454.62,1355.24,65.6
21,23,4415.09,7834.3,1668.04,71.9
22,19,4056.47,7765.21,1541.32,59.4
23,18,4651.94,6377.56,1521.5,56.2
24,20,4013.9,8492.85,1212.25,62.5
25,19,3231.0,4782.16,1000.11,59.4
26,20,3758.25,6915.2,1094.6,62.5
27,19,3471.53,7293.74,1321.26,59.4
28,19,3930.16,7174.47,1234.42,59.4
29,19,3977.16,9405.42,1204.79,59.4
30,20,3733.15,10849.15,1273.8,62.5
31,18,3990.83,6468.83,1197.17,56.2
32,19,4820.53,7566.47,1558.42,59.4
33,20,4224.9,8822.45,1625.2,62.5
34,18,4433.72,10025.0,1418.67,56.2
35,20,4446.75,13324.7,1446.35,62.5
36,20,4766.15,10970.15,1758.95,62.5
37,19,4925.53,7964.47,1457.53,59.4
38,18,4499.0,9721.5,1351.33,56.2
39,19,4476.89,8258.32,1283.47,59.4
40,17,4116.59,9314.94,1216.06,53.1
41,19,3640.89,11598.47,1376.16,59.4
42,17,4099.88,7011.65,1227.82,53.1
43,20,4203.95,7601.6,1261.3,62.5
44,18,4105.67,7419.11,1324.94,56.2
45,19,4136.11,8641.58,1372.89,59.4
46,19,3994.32,10248.74,1164.32,59.4
47,17,4268.35,7402.88,1512.88,53.1
48,18,3760.0,6608.78,1273.22,56.2
49,17,4025.53,5695.65,1194.94,53.1
50,17,3666.29,5122.65,1061.59,53.1
51,19,3914.47,9635.11,1164.53,59.4
52,17,3725.41,9311.76,1112.88,53.1
53,18,4616.5,8861.67,1371.17,56.2
54,18,3575.06,5701.11,1047.17,56.2
55,17,4229.65,8022.76,1265.41,53.1
56,18,3471.22,5769.22,1066.78,56.2
57,18,3261.67,8570.89,1249.0,56.2
58,17,3502.47,7133.41,1010.76,53.1
59,17,3050.94,7114.65,948.53,53.1
60,17,3500.47,7492.24,1217.41,53.1
61,17,3527.59,6668.29,1016.29,53.1
62,17,3754.0,6120.53,1127.59,53.1
63,18,3298.0,5476.89,1024.0,56.2
64,17,4084.0,8278.35,1480.18,53.1
65,18,4040.89,7159.83,1304.61,56.2
66,19,3950.74,8830.42,1328.74,59.4
67,18,3903.5,6166.56,1178.78,56.2
68,18,3940.61,6124.17,1333.61,56.2
69,17,4323.29,5710.47,1303.18,53.1
70,18,3848.89,6539.11,1142.56,56.2
71,18,4177.28,11171.94,1280.44,56.2
72,17,3975.59,9368.59,1163.12,53.1
73,17,3855.53,6777.29,1178.18,53.1
74,17,3643.18,5403.0,1117.18,53.1
75,18,3875.39,5796.11,1168.67,56.2
76,18,3824.94,7203.28,1196.56,56.2
77,16,4216.38,8027.75,1165.56,50.0
78,17,3905.0,6516.71,1136.29,53.1
79,19,3758.05,6920.53,1192.84,59.4
80,19,3576.74,7532.42,1088.95,59.4
81,17,4116.88,7314.53,1129.24,53.1
82,18,3544.11,9503.39,1046.33,56.2
83,17,3828.53,7760.29,1071.24,53.1
84,18,3296.39,6852.17,1047.5,56.2
85,20,3985.85,9787.2,1230.85,62.5
86,17,3643.29,8193.88,1020.06,53.1
87,18,4177.0,10038.06,1178.72,56.2
88,20,3238.6,7476.45,1121.95,62.5
89,18,3021.39,6652.89,954.94,56.2
90,18,3350.0,7005.89,991.89,56.2
91,19,3221.89,6073.47,1019.63,59.4
92,19,3371.95,6945.47,1038.16,59.4
93,20,3167.25,8689.55,1067.0,62.5
94,19,3136.05,9545.63,1018.53,59.4
95,17,3393.12,7947.24,1008.06,53.1
